제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
비엠더블유코리아(주),BMW 320d,2016-06-29,2017-03-08,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 320d,2015-07-21,2016-04-23,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 320d,2015-07-03,2017-04-05,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 320d,2013-03-26,2015-05-20,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 320d,2013-03-28,2015-02-26,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 320d,2013-03-06,2015-06-30,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 220d,2014-01-03,2014-05-23,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 120d,2013-03-11,2014-11-22,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
비엠더블유코리아(주),BMW 118d,2015-03-04,2017-03-04,2021-07-01,"BMW 자체 품질조사 결과 2011년 3월 31일부터 2020년 8월 28일까지 생산된 BMW 118d, 120d, 220d, 320d, 323d, 328d, 420d, 435d, 518d, 520d, 525d, 530d, 535d, 630d, 640d, 730d, 730Ld, 740d, 740Ld,750Ld, 840d, M550d, X1, X3, X4, X4 M40d, X5, X5 M50d, X6, X6 M50d, X7 모델 중 일부 차량에서 극히 드문 경우, 배기가스재순환장치(EGR) 쿨러의 제작결함이 발견 되었습니다."
(주)볼보자동차코리아,XC90,2018-11-27,2019-11-29,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,XC60,2018-11-29,2019-11-30,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,V90CC,2018-11-27,2019-12-02,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,V60CC,2018-12-10,2019-11-30,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,S90L,2019-01-10,2019-05-17,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,S90,2018-11-23,2019-12-19,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,S60,2019-06-05,2019-12-20,2021-07-02,"엔진 시동 전 차량의 문 잠금 해제 및 개방, 브레이크 패달 조작 등의 상황 후에 ECM(엔진 컨트롤 모듈)은 연료공급모듈을 차단하게 되는데, 이 때 전류 피크가 생성됩니다. 차량에 적용된 15A용량의 연료공급모듈 퓨즈는 생성된 전류 피크를 견디지 못해 끊어질 가능성이 있습니다."
(주)볼보자동차코리아,XC90,2016-07-04,2020-03-23,2021-07-07,"차량의 뒷자석 중앙에 장착된 ‘정전식 터치 기술 기반의 컨트롤 디스플레이’의 터치 기능상 설계 오류로 인해, 젖은 손가락으로 스크린을 터치하여 화면에 액체가 남아있거나 다른 사유로 특정 양의 액체가 디스플레이 표면에 떨어지는 경우, 정전식 터치 감지 매커니즘의 특성으로 인하여 컨트롤 디스플레이가 이를 지속적인 터치 신호로 잘못 인식하게 됩니다"
(주)볼보자동차코리아,S90,2018-11-26,2020-04-06,2021-07-07,"차량의 뒷자석 중앙에 장착된 ‘정전식 터치 기술 기반의 컨트롤 디스플레이’의 터치 기능상 설계 오류로 인해, 젖은 손가락으로 스크린을 터치하여 화면에 액체가 남아있거나 다른 사유로 특정 양의 액체가 디스플레이 표면에 떨어지는 경우, 정전식 터치 감지 매커니즘의 특성으로 인하여 컨트롤 디스플레이가 이를 지속적인 터치 신호로 잘못 인식하게 됩니다"
한국토요타자동차(주),렉서스 CT200h,2021-02-16,2021-03-30,2021-07-08,인버터* 내부 제어기판의 전기 노이즈 내성이 부족하여 고전압회로의 전압변동으로 발생되는 전기 노이즈를 전원제어회로가 이상으로 오감지할 가능성이 있음. *인버터: 하이브리드 배터리의 직류전류를 모터 구동용 교류전류로 변환하는 장치
현대자동차(주),베라크루즈(EN),2007-05-07,2013-06-28,2021-07-09,가솔린 3.8 엔진 헤드커버 가스켓 리콜조치 ('시행일 : '14.9/30) 일부 차량에서 리콜시행 초기 작업 미흡에 의해 엔진 헤드커버 부위로 오일이 누유되는 현상이 재발
현대자동차(주),그랜저(IG),2017-01-03,2017-01-23,2021-07-09,HECU 모듈 내 회로 기판의 전기적 합선 (합선 원인 조사 중)
허스크바나모터싸이클코리아 주식회사,SVARTPILEN 701 STYLE,2019-05-15,2019-05-20,2021-07-09,조립 공정 중의 문제로 인해 일부 차량의 라이선스 플레이트 홀더와 스윙암이 제대로 체결되지 않을 가능성이 있음
허스크바나모터싸이클코리아 주식회사,SVARTPILEN 701,2019-03-14,2020-03-05,2021-07-09,조립 공정 중의 문제로 인해 일부 차량의 라이선스 플레이트 홀더와 스윙암이 제대로 체결되지 않을 가능성이 있음
허스크바나모터싸이클코리아 주식회사,VITPILEN 701,2017-12-11,2020-07-07,2021-07-09,조립 공정 중의 문제로 인해 일부 차량의 라이선스 플레이트 홀더와 스윙암이 제대로 체결되지 않을 가능성이 있음
다임러트럭코리아(주),스프린터 907,2018-07-25,2019-10-10,2021-07-09,"차량 생산 공정에서 브레이크 페달의 차체 연결 볼트와 워셔(Washer) 간 공차가 설계된 바에 따라 제작되지 않았습니다. 해당 부품의 연결 볼트와 워셔가 느슨해져 떨어질 경우, 브레이크 페달이 적절히 고정되지 않아 한 방향으로 치우쳐져 운전자의 의도와는 관계없이 제동등 스위치가 계속해서 작동될 수 있습니다. 이로 인해 뒤따르던 차량 운전자에게 혼란을 야기하여 사고의 위험성이 있으며, 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제15조 제9항에 부적합합니다."
다임러트럭코리아(주),스프린터 907,2019-06-14,2019-09-19,2021-07-09,"차량 생산 공정에서 브레이크 페달의 차체 연결 볼트와 워셔(Washer) 간 공차가 설계된 바에 따라 제작되지 않았습니다. 해당 부품의 연결 볼트와 워셔가 느슨해져 떨어질 경우, 브레이크 페달이 적절히 고정되지 않아 한 방향으로 치우쳐져 운전자의 의도와는 관계없이 제동등 스위치가 계속해서 작동될 수 있습니다. 이로 인해 뒤따르던 차량 운전자에게 혼란을 야기하여 사고의 위험성이 있으며, 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제15조 제9항에 부적합합니다."
다임러트럭코리아(주),스프린터 907,2018-04-12,2019-12-12,2021-07-09,"차량 생산 공정에서 브레이크 페달의 차체 연결 볼트와 워셔(Washer) 간 공차가 설계된 바에 따라 제작되지 않았습니다. 해당 부품의 연결 볼트와 워셔가 느슨해져 떨어질 경우, 브레이크 페달이 적절히 고정되지 않아 한 방향으로 치우쳐져 운전자의 의도와는 관계없이 제동등 스위치가 계속해서 작동될 수 있습니다. 이로 인해 뒤따르던 차량 운전자에게 혼란을 야기하여 사고의 위험성이 있으며, 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제15조 제9항에 부적합합니다."
다임러트럭코리아(주),스프린터 907,2019-10-24,2019-12-16,2021-07-09,"차량 생산 공정에서 브레이크 페달의 차체 연결 볼트와 워셔(Washer) 간 공차가 설계된 바에 따라 제작되지 않았습니다. 해당 부품의 연결 볼트와 워셔가 느슨해져 떨어질 경우, 브레이크 페달이 적절히 고정되지 않아 한 방향으로 치우쳐져 운전자의 의도와는 관계없이 제동등 스위치가 계속해서 작동될 수 있습니다. 이로 인해 뒤따르던 차량 운전자에게 혼란을 야기하여 사고의 위험성이 있으며, 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제15조 제9항에 부적합합니다."
진일엔지니어링 주식회사,BX500ver2,2015-04-01,2018-07-29,2021-07-13,"차량의 차체높이, 차체길이, 축간거리, 오버행이 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차) 및 별표33'에서 정하는 제원의 허용차를 초과함"
진일엔지니어링 주식회사,BX500,2017-09-20,2017-09-20,2021-07-13,"차량의 차체높이, 차체길이, 축간거리, 오버행이 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차) 및 별표33'에서 정하는 제원의 허용차를 초과함"
진일엔지니어링 주식회사,BX400,2016-04-03,2017-03-08,2021-07-13,"차량의 차체높이, 차체길이, 축간거리, 오버행이 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차) 및 별표33'에서 정하는 제원의 허용차를 초과함"
진일엔지니어링 주식회사,BX300,2012-11-11,2017-06-03,2021-07-13,"차량의 차체높이, 차체길이, 축간거리, 오버행이 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차) 및 별표33'에서 정하는 제원의 허용차를 초과함"
진일엔지니어링 주식회사,XW500,2012-11-11,2019-09-20,2021-07-13,"차량의 차체높이, 차체길이, 축간거리, 오버행이 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차) 및 별표33'에서 정하는 제원의 허용차를 초과함"
진일엔지니어링 주식회사,XW300,2011-05-22,2018-10-29,2021-07-13,"차량의 차체높이, 차체길이, 축간거리, 오버행이 '자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제115조(제원의 허용차) 및 별표33'에서 정하는 제원의 허용차를 초과함"
한국지엠(주),트래버스,2020-11-25,2020-11-25,2021-07-16,서비스 센터에서 에어백 제어장치 모듈의 서비스 용 소프트웨어 업데이트 시 다른 연식 모델의 소프트웨어로 잘 못 업데이트 되었음 전방 에어백이 정상적으로 작동하지 않을 가능성이 있음.
지엠코리아(주),에스컬레이드,2006-09-08,2013-08-30,2021-07-16,질산암모늄(PSAN)으로 만든 태블릿 추진체가 절대습도와 온도가 높은 환경에서 지속 조건으로 수년 동안 노출된 후 변화될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스 압력이 설계 기준보다 높아져 과다폭발 및 파열이 발생할 가능성이 있음.
포르쉐코리아 주식회사,파나메라,2021-02-02,2021-04-01,2021-07-19,"차량 앞 차축 하부 트레일링 암이 단조 공정 중의 오류로 강성이 부족한 상태로 생산 되었습니다. 이에 차량 운행 중, 해당 트레일링 암이 파손 될 가능성이 있습니다."
기아주식회사,니로 전기차(DE EV),2018-07-24,2021-05-17,2021-07-22,뒷범퍼 후퇴등 커넥터가 차체와 가까워 범퍼 후퇴등에 2.5km/h 속도로 충격시 후퇴등 커넥터와 차체 간섭으로 전구가 분리될 수 있는 가능성
기아주식회사,카니발(KA4),2021-06-15,2021-06-28,2021-07-22,연료탱크 제작시 제조 불량으로 탱크 측면에 미세한 크랙이 생길수 있는 가능성
포르쉐코리아 주식회사,타이칸,2020-09-23,2021-06-29,2021-07-22,"전력변환장치(인버터)의 소프트웨어 설계 오류로 타 컨트롤유닛에서 오는 신호를 잘못 인식 하여 구동 장치에 전력공급제어가 되지 않아 동력 손실 및 상실을 일으킬 가능성이 있습니다. 이러한 경우, 해당 차량의 계기판에 ""Motor control error Stop vehicle in a safe place""의 경고 메시지가 점등 됩니다."
포르쉐코리아 주식회사,카이엔,2017-10-13,2021-04-10,2021-07-22,부품 제조상의 오류로 스티어링 컬럼*과 스티어링 기어박스** 사이의 고정 나사가 불량하게 제조되어 정확히 고정되지 않을 수 있는 가능성을 발견하였습니다. * 스티어링 컬럼 : 스티어링 휠(핸들)과 스티어링 기어박스를 연결하는 지지대. ** 스티어링 기어박스 : 스티어링 휠(핸들)을 돌린 만큼 앞 바퀴축을 움직이게 해주는 기어 세트
한국닛산(주),알티마,2012-07-27,2018-08-05,2021-07-22,도로 환경적 요인에 의해 2차 후드걸쇠장치가 열린 상태에서 고착될 수 있습니다. 이러한 조건 에서 주유 시 연료 주입구 열림 버튼과 혼동하는 등 1차 후드걸쇠장치를 잘못 열 경우 후드가 제대로 닫히지 않을 수 있습니다
비엠더블유코리아(주),MINI Cooper D,2014-07-02,2017-07-11,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper SD Five Door,2017-10-23,2018-09-20,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper SD Clubman,2019-06-14,2020-06-25,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper SD Clubman,2018-02-15,2018-10-26,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper SD Clubman,2015-11-06,2018-01-08,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper SD,2017-10-23,2018-09-20,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper SD,2014-06-19,2017-08-17,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D Five Door,2014-07-04,2017-10-31,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D Five Door,2013-10-23,2018-11-29,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D Clubman,2019-07-01,2020-06-30,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D Clubman,2018-02-19,2018-11-28,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D Clubman,2015-07-15,2018-01-05,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D,2017-10-23,2018-11-28,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
비엠더블유코리아(주),MINI Cooper D,2013-12-03,2017-10-31,2021-07-23,"MINI 자체 품질 조사 결과 2013년 12월 03일부터 2020년 06월 30일까지 제작된 MINI Cooper D, Cooper D Clubman, Cooper D Five Door, Cooper SD, Cooper SD Clubman, Cooper SD Five Door 차량 총 12,147대의 차량 생산 과정에서 연료 라인*을 고정시켜주는 클립의 조립 불량을 확인했습니다."
메르세데스벤츠코리아(주),CLS 63 AMG,2006-07-26,2006-07-26,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),CLS 550,2006-07-14,2006-07-14,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),CLS 350,2006-01-17,2006-08-08,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),E 350 4MATIC,2006-01-18,2006-01-18,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),E 350,2006-01-30,2006-08-01,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),E 280,2006-01-20,2006-08-18,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),E 200 KOMPRESSOR,2006-01-20,2006-08-08,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),C 230,2006-01-24,2006-08-16,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),C 180 KOMPRESSOR,2006-01-30,2006-04-05,2021-07-30,"공급업체의 생산 공정 오류로 인하여 유리 패널에 프라이머(접착제)를 제대로 도포하지 않고 장착 되었을 수 있습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다. 이로 인하여 접합부의 내구성이 떨어질 수 있고, 유리 패널이 차량에서 완전히 분리될 수 있습니다."
메르세데스벤츠코리아(주),AMG GLC 63 4MATIC,2018-04-25,2018-04-25,2021-07-30,서비스 센터의 수리 작업 공정 오류로 인하여 전방 고정 부가 폴리카보네이트(polycarbonate) 패널인 경우 접합부가 사양에 맞지 않게 접합되었을 수 있습니다. 폴리카보네이트 패널의 접착력이 시간이 지남에 따라 약화될 수 있습니다.
메르세데스벤츠코리아(주),GLC 300 4MATIC,2019-10-15,2019-10-15,2021-07-30,서비스 센터의 수리 작업 공정 오류로 인하여 전방 고정 부가 폴리카보네이트(polycarbonate) 패널인 경우 접합부가 사양에 맞지 않게 접합되었을 수 있습니다. 폴리카보네이트 패널의 접착력이 시간이 지남에 따라 약화될 수 있습니다.
메르세데스벤츠코리아(주),GLC 350 e 4MATIC,2018-09-25,2018-09-29,2021-07-30,서비스 센터의 수리 작업 공정 오류로 인하여 전방 고정 부가 폴리카보네이트(polycarbonate) 패널인 경우 접합부가 사양에 맞지 않게 접합되었을 수 있습니다. 폴리카보네이트 패널의 접착력이 시간이 지남에 따라 약화될 수 있습니다.
